Probability_0,Probability_1,Probability_2
4.1443851529150484e-22,0.9999999947123477,5.287652233805202e-09
0.999980732016776,4.386107753874371e-28,1.926798322408207e-05
4.5151184641038033e-36,1.0,4.9787682788365456e-17
1.3461049356938005e-09,0.003550833075109647,0.9964491655787853
7.565943552361626e-28,0.9999999999957281,4.271838905295852e-12
1.3750544586531458e-07,6.033957698188365e-05,0.9999395229175722
0.9995251026597581,8.922248882972286e-25,0.0004748973402418625
4.002231729708496e-24,0.9999999997169022,2.830977984974788e-10
0.9999998983944026,1.1608559452462022e-33,1.0160559742068455e-07
1.88309737612522e-06,4.6097225618199314e-07,0.9999976559303678
5.3343093223725664e-27,0.9999999999938542,6.145751804498003e-12
2.425207481514103e-17,0.9999962927142357,3.707285764192672e-06
0.9994043579716013,1.536055105156366e-23,0.0005956420283987718
3.4021351544673684e-15,0.9999479465026119,5.2053497384747665e-05
0.9998077357419939,4.495879793353093e-25,0.00019226425800596874
0.9999544650529764,1.3414736206737636e-26,4.5534947023607884e-05
0.9999600484707469,2.6571945319641435e-27,3.9951529253140775e-05
0.9999998018517919,3.519585837839244e-33,1.9814820820290764e-07
2.8095005121142666e-17,0.999995579427608,4.420572392181452e-06
4.3452607302023335e-06,0.0006295639583935718,0.9993660907808762
8.654732674723578e-21,0.9999999822852091,1.7714790971394542e-08
7.007138722048875e-14,0.9805705807502482,0.019429419249681622
8.505103773378903e-06,1.080264890811667e-07,0.9999913868697377
2.1505530364312945e-06,0.002411934664867474,0.997585914782096
9.67059118227261e-11,0.9638521638764425,0.036147836026851725
1.2417153720041498e-14,0.9998699976380142,0.00013000236197326754
0.9999999999885092,7.139567376553159e-42,1.149079438168998e-11
0.9999991883962657,1.8955831156312773e-31,8.116037343363283e-07
0.9088070924340913,5.768507578498865e-19,0.09119290756590878
0.0005812885676529456,1.964043501871681e-11,0.9994187114127066
2.22770665072088e-05,3.2017130197218447e-09,0.9999777197317797
0.9916180346877941,3.464888963472972e-21,0.008381965312205884
5.93086538968483e-07,1.4285911456638745e-06,0.9999979783223154
0.9982320100662169,2.540727820784167e-22,0.0017679899337831246
